state,zip_code,zip_url,latitude,longitude,population,house_value,household_income
VA,22473,https://www.zip-codes.com/zip-code/22473/zip-code-22473.asp,37.883894,-76.395546,5643,273800,59272
VA,22476,https://www.zip-codes.com/zip-code/22476/zip-code-22476.asp,38.038781,-77.06875600000000,332,165500,98875
VA,22480,https://www.zip-codes.com/zip-code/22480/zip-code-22480.asp,37.664679,-76.415555,730,299000,74231
VA,22482,https://www.zip-codes.com/zip-code/22482/zip-code-22482.asp,37.739132,-76.351509,2396,239500,50399
VA,22485,https://www.zip-codes.com/zip-code/22485/zip-code-22485.asp,38.271078,-77.172762,26071,301300,88690
VA,22488,https://www.zip-codes.com/zip-code/22488/zip-code-22488.asp,38.041722,-76.587492,1466,261800,43750
VA,22503,https://www.zip-codes.com/zip-code/22503/zip-code-22503.asp,37.733783,-76.52985100000000,4455,253300,45982
VA,22504,https://www.zip-codes.com/zip-code/22504/zip-code-22504.asp,37.757496,-76.726784,332,241000,81148
VA,22508,https://www.zip-codes.com/zip-code/22508/zip-code-22508.asp,38.311255,-77.783957,16044,248000,83159
VA,22509,https://www.zip-codes.com/zip-code/22509/zip-code-22509.asp,38.08170300000000,-77.03934100000000,61,0,0
VA,22511,https://www.zip-codes.com/zip-code/22511/zip-code-22511.asp,37.990736,-76.495479,1302,260600,60688
VA,22514,https://www.zip-codes.com/zip-code/22514/zip-code-22514.asp,37.960341,-77.243082,2376,195400,66917
VA,22520,https://www.zip-codes.com/zip-code/22520/zip-code-22520.asp,38.109482,-76.807728,6211,203000,58400
VA,22534,https://www.zip-codes.com/zip-code/22534/zip-code-22534.asp,38.067824,-77.67717000000000,3172,238000,61429
VA,22535,https://www.zip-codes.com/zip-code/22535/zip-code-22535.asp,38.119938,-77.24986,383,190300,41146
VA,22538,https://www.zip-codes.com/zip-code/22538/zip-code-22538.asp,38.203720000000000,-77.244974,143,0,0
VA,22539,https://www.zip-codes.com/zip-code/22539/zip-code-22539.asp,37.861652,-76.287024,2415,376600,72833
VA,22542,https://www.zip-codes.com/zip-code/22542/zip-code-22542.asp,38.302044,-77.90092800000000,2162,193000,69381
VA,22546,https://www.zip-codes.com/zip-code/22546/zip-code-22546.asp,37.949726,-77.437624,18144,201700,71934
VA,22551,https://www.zip-codes.com/zip-code/22551/zip-code-22551.asp,38.178874,-77.69783700000000,22972,286200,82906
VA,22553,https://www.zip-codes.com/zip-code/22553/zip-code-22553.asp,38.275272,-77.62609,17135,306200,91944
VA,22554,https://www.zip-codes.com/zip-code/22554/zip-code-22554.asp,38.432776000000000,-77.395156,63599,344100,116357
VA,22556,https://www.zip-codes.com/zip-code/22556/zip-code-22556.asp,38.502596,-77.495303,30149,333100,108147
VA,22560,https://www.zip-codes.com/zip-code/22560/zip-code-22560.asp,37.913586,-76.977738,5016,197200,47500
VA,22567,https://www.zip-codes.com/zip-code/22567/zip-code-22567.asp,38.23865900000000,-77.926338,3382,214800,44115
VA,22572,https://www.zip-codes.com/zip-code/22572/zip-code-22572.asp,37.963649,-76.771778,5750,193000,49588
VA,22576,https://www.zip-codes.com/zip-code/22576/zip-code-22576.asp,37.690607,-76.42689,1718,214300,42325
VA,22578,https://www.zip-codes.com/zip-code/22578/zip-code-22578.asp,37.641205,-76.377794,2646,248100,68940
VA,22580,https://www.zip-codes.com/zip-code/22580/zip-code-22580.asp,38.126492,-77.441282,5537,180300,54872
VA,22601,https://www.zip-codes.com/zip-code/22601/zip-code-22601.asp,39.168183,-78.169274,30431,231900,54119
VA,22602,https://www.zip-codes.com/zip-code/22602/zip-code-22602.asp,39.151073,-78.277218,32307,257900,78916
VA,22603,https://www.zip-codes.com/zip-code/22603/zip-code-22603.asp,39.290399,-78.19332300000000,16320,218000,67195
VA,22610,https://www.zip-codes.com/zip-code/22610/zip-code-22610.asp,38.818464,-78.27854,2086,279500,59350
VA,22611,https://www.zip-codes.com/zip-code/22611/zip-code-22611.asp,39.175319,-77.97529,9149,336100,73245
VA,22620,https://www.zip-codes.com/zip-code/22620/zip-code-22620.asp,39.065415,-78.03245600000000,2315,340900,104609
VA,22623,https://www.zip-codes.com/zip-code/22623/zip-code-22623.asp,38.8535,-78.1355,685,194000,74583
VA,22624,https://www.zip-codes.com/zip-code/22624/zip-code-22624.asp,39.271646,-78.09989400000000,2642,238500,66866
VA,22625,https://www.zip-codes.com/zip-code/22625/zip-code-22625.asp,39.38019600000000,-78.306115,4249,238700,78235
VA,22627,https://www.zip-codes.com/zip-code/22627/zip-code-22627.asp,38.765121,-78.083626,335,462100,42500
VA,22630,https://www.zip-codes.com/zip-code/22630/zip-code-22630.asp,38.922448,-78.172554,34934,240500,64421
VA,22637,https://www.zip-codes.com/zip-code/22637/zip-code-22637.asp,39.253719,-78.348104,2193,251900,83438
VA,22639,https://www.zip-codes.com/zip-code/22639/zip-code-22639.asp,38.811261,-78.020928,501,696200,102969
VA,22640,https://www.zip-codes.com/zip-code/22640/zip-code-22640.asp,38.81168,-78.125185,428,393800,65375
VA,22641,https://www.zip-codes.com/zip-code/22641/zip-code-22641.asp,39.073508000000000,-78.386752,290,219800,54188
